	path	species	source
0	juglans_nigra/juglans_nigra_0.png	juglans nigra	lab
1	juglans_nigra/juglans_nigra_1.png	juglans nigra	lab
2	juglans_nigra/juglans_nigra_2.png	juglans nigra	field
3	juglans_nigra/juglans_nigra_3.png	juglans nigra	field
4	juglans_nigra/juglans_nigra_4.png	juglans nigra	lab
5	juglans_nigra/juglans_nigra_5.png	juglans nigra	lab
6	juglans_nigra/juglans_nigra_6.png	juglans nigra	lab
7	juglans_nigra/juglans_nigra_7.png	juglans nigra	lab
8	juglans_nigra/juglans_nigra_8.png	juglans nigra	field
9	juglans_nigra/juglans_nigra_9.png	juglans nigra	lab
10	juglans_nigra/juglans_nigra_10.png	juglans nigra	lab
11	juglans_nigra/juglans_nigra_11.png	juglans nigra	lab
12	juglans_nigra/juglans_nigra_12.png	juglans nigra	lab
13	juglans_nigra/juglans_nigra_13.png	juglans nigra	lab
14	juglans_nigra/juglans_nigra_14.png	juglans nigra	lab
15	juglans_nigra/juglans_nigra_15.png	juglans nigra	lab
16	juglans_nigra/juglans_nigra_16.png	juglans nigra	lab
17	juglans_nigra/juglans_nigra_17.png	juglans nigra	lab
18	juglans_nigra/juglans_nigra_18.png	juglans nigra	lab
19	juglans_nigra/juglans_nigra_19.png	juglans nigra	lab
20	juglans_nigra/juglans_nigra_20.png	juglans nigra	field
21	juglans_nigra/juglans_nigra_21.png	juglans nigra	lab
22	juglans_nigra/juglans_nigra_22.png	juglans nigra	lab
23	juglans_nigra/juglans_nigra_23.png	juglans nigra	lab
24	juglans_nigra/juglans_nigra_24.png	juglans nigra	lab
25	juglans_nigra/juglans_nigra_25.png	juglans nigra	lab
26	juglans_nigra/juglans_nigra_26.png	juglans nigra	lab
27	juglans_nigra/juglans_nigra_27.png	juglans nigra	lab
28	juglans_nigra/juglans_nigra_28.png	juglans nigra	lab
29	juglans_nigra/juglans_nigra_29.png	juglans nigra	lab
30	juglans_nigra/juglans_nigra_30.png	juglans nigra	lab
31	juglans_nigra/juglans_nigra_31.png	juglans nigra	lab
32	juglans_nigra/juglans_nigra_32.png	juglans nigra	lab
33	juglans_nigra/juglans_nigra_33.png	juglans nigra	lab
34	juglans_nigra/juglans_nigra_34.png	juglans nigra	lab
35	juglans_nigra/juglans_nigra_35.png	juglans nigra	lab
36	juglans_nigra/juglans_nigra_36.png	juglans nigra	lab
37	juglans_nigra/juglans_nigra_37.png	juglans nigra	lab
38	juglans_nigra/juglans_nigra_38.png	juglans nigra	lab
39	juglans_nigra/juglans_nigra_39.png	juglans nigra	lab
40	juglans_nigra/juglans_nigra_40.png	juglans nigra	lab
41	juglans_nigra/juglans_nigra_41.png	juglans nigra	lab
42	juglans_nigra/juglans_nigra_42.png	juglans nigra	lab
43	juglans_nigra/juglans_nigra_43.png	juglans nigra	lab
44	juglans_nigra/juglans_nigra_44.png	juglans nigra	lab
45	juglans_nigra/juglans_nigra_45.png	juglans nigra	lab
46	juglans_nigra/juglans_nigra_46.png	juglans nigra	lab
47	juglans_nigra/juglans_nigra_47.png	juglans nigra	lab
48	juglans_nigra/juglans_nigra_48.png	juglans nigra	lab
49	juglans_nigra/juglans_nigra_49.png	juglans nigra	lab
50	juglans_nigra/juglans_nigra_50.png	juglans nigra	lab
51	juglans_nigra/juglans_nigra_51.png	juglans nigra	lab
52	juglans_nigra/juglans_nigra_52.png	juglans nigra	lab
53	juglans_nigra/juglans_nigra_53.png	juglans nigra	lab
54	juglans_nigra/juglans_nigra_54.png	juglans nigra	lab
55	juglans_nigra/juglans_nigra_55.png	juglans nigra	lab
56	juglans_nigra/juglans_nigra_56.png	juglans nigra	field
57	juglans_nigra/juglans_nigra_57.png	juglans nigra	lab
58	juglans_nigra/juglans_nigra_58.png	juglans nigra	lab
59	juglans_nigra/juglans_nigra_59.png	juglans nigra	lab
60	juglans_nigra/juglans_nigra_60.png	juglans nigra	lab
61	juglans_nigra/juglans_nigra_61.png	juglans nigra	lab
62	juglans_nigra/juglans_nigra_62.png	juglans nigra	lab
63	juglans_nigra/juglans_nigra_63.png	juglans nigra	lab
64	juglans_nigra/juglans_nigra_64.png	juglans nigra	lab
65	juglans_nigra/juglans_nigra_65.png	juglans nigra	lab
66	juglans_nigra/juglans_nigra_66.png	juglans nigra	lab
67	juglans_nigra/juglans_nigra_67.png	juglans nigra	lab
68	juglans_nigra/juglans_nigra_68.png	juglans nigra	lab
69	juglans_nigra/juglans_nigra_69.png	juglans nigra	lab
70	juglans_nigra/juglans_nigra_70.png	juglans nigra	field
71	juglans_nigra/juglans_nigra_71.png	juglans nigra	lab
72	juglans_nigra/juglans_nigra_72.png	juglans nigra	lab
73	juglans_nigra/juglans_nigra_73.png	juglans nigra	field
74	juglans_nigra/juglans_nigra_74.png	juglans nigra	lab
75	juglans_nigra/juglans_nigra_75.png	juglans nigra	lab
76	juglans_nigra/juglans_nigra_76.png	juglans nigra	lab
77	juglans_nigra/juglans_nigra_77.png	juglans nigra	lab
78	juglans_nigra/juglans_nigra_78.png	juglans nigra	field
79	juglans_nigra/juglans_nigra_79.png	juglans nigra	lab
80	juglans_nigra/juglans_nigra_80.png	juglans nigra	field
81	juglans_nigra/juglans_nigra_81.png	juglans nigra	lab
82	juglans_nigra/juglans_nigra_82.png	juglans nigra	lab
83	juglans_nigra/juglans_nigra_83.png	juglans nigra	lab
84	juglans_nigra/juglans_nigra_84.png	juglans nigra	lab
85	juglans_nigra/juglans_nigra_85.png	juglans nigra	lab
86	juglans_nigra/juglans_nigra_86.png	juglans nigra	lab
87	juglans_nigra/juglans_nigra_87.png	juglans nigra	lab
88	juglans_nigra/juglans_nigra_88.png	juglans nigra	lab
89	juglans_nigra/juglans_nigra_89.png	juglans nigra	lab
90	juglans_nigra/juglans_nigra_90.png	juglans nigra	lab
91	juglans_nigra/juglans_nigra_91.png	juglans nigra	field
92	juglans_nigra/juglans_nigra_92.png	juglans nigra	lab
93	juglans_nigra/juglans_nigra_93.png	juglans nigra	lab
94	juglans_nigra/juglans_nigra_94.png	juglans nigra	lab
95	juglans_nigra/juglans_nigra_95.png	juglans nigra	lab
96	juglans_nigra/juglans_nigra_96.png	juglans nigra	lab
97	juglans_nigra/juglans_nigra_97.png	juglans nigra	lab
98	juglans_nigra/juglans_nigra_98.png	juglans nigra	lab
99	juglans_nigra/juglans_nigra_99.png	juglans nigra	lab
100	juglans_nigra/juglans_nigra_100.png	juglans nigra	lab
101	juglans_nigra/juglans_nigra_101.png	juglans nigra	lab
102	juglans_nigra/juglans_nigra_102.png	juglans nigra	lab
103	juglans_nigra/juglans_nigra_103.png	juglans nigra	lab
104	juglans_nigra/juglans_nigra_104.png	juglans nigra	lab
105	juglans_nigra/juglans_nigra_105.png	juglans nigra	field
106	juglans_nigra/juglans_nigra_106.png	juglans nigra	lab
107	juglans_nigra/juglans_nigra_107.png	juglans nigra	lab
108	juglans_nigra/juglans_nigra_108.png	juglans nigra	lab
109	juglans_nigra/juglans_nigra_109.png	juglans nigra	lab
110	juglans_nigra/juglans_nigra_110.png	juglans nigra	field
111	juglans_nigra/juglans_nigra_111.png	juglans nigra	lab
112	juglans_nigra/juglans_nigra_112.png	juglans nigra	lab
113	juglans_nigra/juglans_nigra_113.png	juglans nigra	lab
114	juglans_nigra/juglans_nigra_114.png	juglans nigra	lab
115	juglans_nigra/juglans_nigra_115.png	juglans nigra	lab
116	juglans_nigra/juglans_nigra_116.png	juglans nigra	lab
117	juglans_nigra/juglans_nigra_117.png	juglans nigra	lab
118	juglans_nigra/juglans_nigra_118.png	juglans nigra	lab
119	juglans_nigra/juglans_nigra_119.png	juglans nigra	lab
120	juglans_nigra/juglans_nigra_120.png	juglans nigra	lab
121	juglans_nigra/juglans_nigra_121.png	juglans nigra	lab
122	juglans_nigra/juglans_nigra_122.png	juglans nigra	lab
123	juglans_nigra/juglans_nigra_123.png	juglans nigra	lab
124	juglans_nigra/juglans_nigra_124.png	juglans nigra	lab
125	juglans_nigra/juglans_nigra_125.png	juglans nigra	field
126	juglans_nigra/juglans_nigra_126.png	juglans nigra	lab
127	juglans_nigra/juglans_nigra_127.png	juglans nigra	lab
128	juglans_nigra/juglans_nigra_128.png	juglans nigra	lab
129	juglans_nigra/juglans_nigra_129.png	juglans nigra	lab
130	juglans_nigra/juglans_nigra_130.png	juglans nigra	lab
131	juglans_nigra/juglans_nigra_131.png	juglans nigra	field
132	juglans_nigra/juglans_nigra_132.png	juglans nigra	lab
133	juglans_nigra/juglans_nigra_133.png	juglans nigra	lab
134	juglans_nigra/juglans_nigra_134.png	juglans nigra	lab
135	juglans_nigra/juglans_nigra_135.png	juglans nigra	lab
136	juglans_nigra/juglans_nigra_136.png	juglans nigra	lab
137	juglans_nigra/juglans_nigra_137.png	juglans nigra	lab
138	juglans_nigra/juglans_nigra_138.png	juglans nigra	lab
139	juglans_nigra/juglans_nigra_139.png	juglans nigra	lab
140	juglans_nigra/juglans_nigra_140.png	juglans nigra	lab
141	juglans_nigra/juglans_nigra_141.png	juglans nigra	lab
142	juglans_nigra/juglans_nigra_142.png	juglans nigra	lab
143	juglans_nigra/juglans_nigra_143.png	juglans nigra	lab
